"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PRIV","PC_GDP","A","1980",1.221,
"AUS","SOCEXP","PRIV","PC_GDP","A","1981",1.39,
"AUS","SOCEXP","PRIV","PC_GDP","A","1982",1.675,
"AUS","SOCEXP","PRIV","PC_GDP","A","1983",1.343,
"AUS","SOCEXP","PRIV","PC_GDP","A","1984",0.86,
"AUS","SOCEXP","PRIV","PC_GDP","A","1985",0.836,
"AUS","SOCEXP","PRIV","PC_GDP","A","1986",0.942,
"AUS","SOCEXP","PRIV","PC_GDP","A","1987",0.924,
"AUS","SOCEXP","PRIV","PC_GDP","A","1988",0.975,
"AUS","SOCEXP","PRIV","PC_GDP","A","1989",1.009,
"AUS","SOCEXP","PRIV","PC_GDP","A","1990",1.094,
"AUS","SOCEXP","PRIV","PC_GDP","A","1991",1.202,
"AUS","SOCEXP","PRIV","PC_GDP","A","1992",1.234,
"AUS","SOCEXP","PRIV","PC_GDP","A","1993",1.395,
"AUS","SOCEXP","PRIV","PC_GDP","A","1994",1.416,
"AUS","SOCEXP","PRIV","PC_GDP","A","1995",3.289,
"AUS","SOCEXP","PRIV","PC_GDP","A","1996",3.52,
"AUS","SOCEXP","PRIV","PC_GDP","A","1997",3.853,
"AUS","SOCEXP","PRIV","PC_GDP","A","1998",3.534,
"AUS","SOCEXP","PRIV","PC_GDP","A","1999",4.021,
"AUS","SOCEXP","PRIV","PC_GDP","A","2000",3.71,
"AUS","SOCEXP","PRIV","PC_GDP","A","2001",4.003,
"AUS","SOCEXP","PRIV","PC_GDP","A","2002",3.952,
"AUS","SOCEXP","PRIV","PC_GDP","A","2003",3.476,
"AUS","SOCEXP","PRIV","PC_GDP","A","2004",2.736,
"AUS","SOCEXP","PRIV","PC_GDP","A","2005",2.84,
"AUS","SOCEXP","PRIV","PC_GDP","A","2006",2.875,
"AUS","SOCEXP","PRIV","PC_GDP","A","2007",5.174,
"AUS","SOCEXP","PRIV","PC_GDP","A","2008",4.436,
"AUS","SOCEXP","PRIV","PC_GDP","A","2009",4.319,
"AUS","SOCEXP","PRIV","PC_GDP","A","2010",4.332,
"AUS","SOCEXP","PRIV","PC_GDP","A","2011",4.623,
"AUS","SOCEXP","PRIV","PC_GDP","A","2012",4.842,
"AUS","SOCEXP","PRIV","PC_GDP","A","2013",5.419,
"AUS","SOCEXP","PRIV","PC_GDP","A","2014",6.004,
"AUS","SOCEXP","PRIV","PC_GDP","A","2015",6.202,
"AUS","SOCEXP","PRIV","PC_GDP","A","2016",6.377,
"AUS","SOCEXP","PRIV","PC_GDP","A","2017",6.051,
"AUS","SOCEXP","PRIV","PC_GDP","A","2018",5.855,
"AUS","SOCEXP","PRIV","PC_GDP","A","2019",5.128,
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.244,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.116,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.09,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.591,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.97,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.062,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.897,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.151,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.446,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.584,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.118,
